24,0.56,950.58
24,0.56,953.16
24,0.56,953.71
24,0.57,943.17
24,0.57,944.59
24,0.57,947.91
24,0.57,949.82
24,0.57,949.86
24,0.71,752.25
24,0.73,730.75
24,0.74,729.61
24,0.75,711.97
24,0.75,720.06
24,0.76,702.82
24,0.77,696.25
24,0.78,692.59
24,0.78,692.70
24,0.79,677.23
24,0.81,659.79
24,0.81,661.95
24,0.81,666.00
24,0.81,666.20
24,0.82,658.72
24,0.84,637.66
24,0.85,628.45
24,0.86,623.42
24,0.86,624.37
24,0.86,625.35
24,0.86,627.07
24,0.87,616.94
24,0.87,617.54
24,0.87,618.26
24,0.87,620.38
24,0.88,607.91
24,0.89,601.34
24,0.89,602.46
24,0.89,605.19
24,0.90,593.82
24,0.90,596.29
24,0.90,598.35
24,0.91,587.14
24,0.91,587.42
24,0.91,589.16
24,0.91,591.01
24,0.92,585.35
24,0.93,574.37
24,0.93,577.15
24,0.93,577.41
24,0.93,577.90
24,0.94,573.63
24,0.94,573.80
24,0.95,562.25
24,0.95,562.31
24,0.95,564.19
24,0.95,565.51
24,0.96,556.96
24,0.96,557.48
24,0.96,559.06
24,0.96,560.93
24,0.97,552.51
24,0.97,555.54
24,0.98,548.76
24,0.98,549.88
24,0.98,549.98
24,0.98,550.54
24,0.99,541.01
24,0.99,541.84
24,0.99,541.90
24,1.00,535.41
24,1.00,538.75
24,1.01,531.95
24,1.01,532.11
24,1.01,532.36
24,1.01,532.75
24,1.01,533.93
24,1.02,523.88
24,1.03,518.82
24,1.03,522.44
24,1.04,517.48
24,1.04,517.95
