40,0.06,24132.54
40,0.06,24428.02
40,0.06,24823.05
40,0.06,24826.78
40,0.06,25169.66
40,0.07,22478.51
40,0.12,12051.40
40,0.12,12060.27
40,0.12,12088.39
40,0.12,12102.38
40,0.12,12178.72
40,0.12,12202.45
40,0.12,12221.98
40,0.12,12515.44
40,0.13,11121.13
40,0.13,11302.40
40,0.13,11392.48
40,0.13,11448.71
40,0.13,11585.74
40,0.13,11597.96
40,0.13,11671.11
40,0.13,11745.59
40,0.13,11747.83
40,0.13,11747.99
40,0.13,11791.31
40,0.13,11812.64
40,0.13,11837.68
40,0.13,11889.41
40,0.13,11953.60
40,0.14,10432.95
40,0.14,10548.25
40,0.14,10549.68
40,0.14,10570.97
40,0.14,10752.99
40,0.14,10924.50
40,0.15,10260.47
40,0.15,10263.43
40,0.15,9760.76
40,0.15,9789.43
40,0.15,9808.35
40,0.16,9303.05
40,0.16,9371.21
40,0.17,8786.89
40,0.18,8103.61
40,0.18,8166.40
40,0.18,8242.09
40,0.18,8253.51
40,0.18,8332.78
40,0.18,8338.55
40,0.18,8377.58
40,0.18,8533.07
40,0.18,8536.53
40,0.19,7763.25
40,0.19,7913.97
40,0.19,7971.72
40,0.19,7981.55
40,0.21,7148.33
40,0.22,6902.46
