

 NAS Parallel Benchmarks (NPB3.3-OMP) - CG Benchmark

 Size:      150000
 Iterations:                     75
 Number of available threads:     1
 
 Initialization time =          13.287 seconds

   iteration           ||r||                 zeta
        1       0.16734390582157E-12   109.9994423237398
        2       0.47241404681477E-15    27.3920437146527
        3       0.47060724184428E-15    28.0339761840274
        4       0.47211321855401E-15    28.4191507551290
        5       0.47165797772136E-15    28.6471670038889
        6       0.47180519747105E-15    28.7812969418424
        7       0.47287404109680E-15    28.8600458537355
        8       0.47045596488320E-15    28.9063145572679
        9       0.47378580805986E-15    28.9335649214628
       10       0.47383258006751E-15    28.9496695448996
       11       0.47626709206469E-15    28.9592263353745
       12       0.47155305747873E-15    28.9649233484903
       13       0.47247305948289E-15    28.9683359248930
       14       0.47439936787079E-15    28.9703903960013
       15       0.47148900181470E-15    28.9716336228371
       16       0.47408638082605E-15    28.9723898600851
       17       0.47378811622192E-15    28.9728522692218
       18       0.47104860889348E-15    28.9731364797775
       19       0.47040980203147E-15    28.9733120569289
       20       0.46750339350358E-15    28.9734210663743
       21       0.47046563369260E-15    28.9734890760551
       22       0.46953474492851E-15    28.9735317064867
       23       0.46893107575086E-15    28.9735585497261
       24       0.46902662265534E-15    28.9735755256647
       25       0.47045578139019E-15    28.9735863059380
       26       0.47008032190976E-15    28.9735931787377
       27       0.47037249159713E-15    28.9735975767367
       28       0.46857690074904E-15    28.9736004009982
       29       0.46917459918433E-15    28.9736022206770
       30       0.46744335501040E-15    28.9736033967633
       31       0.46839443714873E-15    28.9736041591151
       32       0.47079798781218E-15    28.9736046546419
       33       0.46625623675874E-15    28.9736049775623
       34       0.46630723808152E-15    28.9736051885106
       35       0.46691442233898E-15    28.9736053266250
       36       0.46600494593849E-15    28.9736054172452
       37       0.46560085571077E-15    28.9736054768222
       38       0.46806137071355E-15    28.9736055160642
       39       0.46528851635702E-15    28.9736055419576
       40       0.46691018098438E-15    28.9736055590706
       41       0.46358687391746E-15    28.9736055703983
       42       0.46659605000257E-15    28.9736055779071
       43       0.46740320874753E-15    28.9736055828936
